Capacity (MW),Status,Start Year,Latitude,Longitude
35.0,Operating,2021.0,-6.9968,-36.894
35.0,Operating,2021.0,-7.0016,-36.8983
35.0,Operating,2021.0,-7.0337,-36.9355
35.0,Operating,2021.0,-7.0039,-36.9131
31.0,Operating,2021.0,-6.9786,-36.8539
35.0,Operating,2021.0,-6.924,-36.8607
35.0,Operating,2021.0,-6.8825,-36.7914
35.0,Operating,2021.0,-6.8722,-36.7594
35.0,Operating,2021.0,-6.8436,-36.7355
35.0,Operating,2021.0,-6.8712,-36.8262
21.0,Operating,2021.0,-6.8824,-36.8415
24.0,Operating,2021.0,-7.0482,-36.9524
35.0,Operating,2021.0,-7.0292,-36.9624
14.0,Operating,2021.0,-7.0508,-36.9679
29.0,Operating,2016.0,-7.4237,-40.6715
30.0,Operating,2016.0,-7.4377,-40.7465
27.0,Operating,2016.0,-7.4513,-40.6864
29.0,Operating,2016.0,-7.3709,-40.6742
29.0,Operating,2016.0,-7.413,-40.6686
29.0,Operating,2016.0,-7.3858,-40.6978
30.0,Operating,2016.0,-7.3724,-40.7072
30.0,Operating,2016.0,-7.4093,-40.6951
30.0,Operating,2015.0,-7.4387,-40.7083
30.0,Operating,2015.0,-7.483,-40.7998
29.0,Operating,2015.0,-7.486,-40.754
